arm,layer,topic_label,dim,relation,kind,n
RN_COMM_OFF,LTB,섹터,dim_6,contradict,depth2_recent_search,5
RN_COMM_OFF,LTB,섹터,dim_6,contradict,news,12
RN_COMM_OFF,LTB,섹터,dim_6,support,news,10
RN_COMM_OFF,LTB,종목,dim_1,contradict,depth2_recent_search,178
RN_COMM_OFF,LTB,종목,dim_1,contradict,news,4315
RN_COMM_OFF,LTB,종목,dim_1,support,depth2_recent_search,629
RN_COMM_OFF,LTB,종목,dim_1,support,news,14393
RN_COMM_OFF,LTB,종목,dim_2,contradict,depth2_recent_search,106
RN_COMM_OFF,LTB,종목,dim_2,contradict,news,1144
RN_COMM_OFF,LTB,종목,dim_2,support,depth2_recent_search,889
RN_COMM_OFF,LTB,종목,dim_2,support,news,5425
RN_COMM_OFF,LTB,종목,dim_3,contradict,depth2_recent_search,77
RN_COMM_OFF,LTB,종목,dim_3,contradict,news,1209
RN_COMM_OFF,LTB,종목,dim_3,support,depth2_recent_search,414
RN_COMM_OFF,LTB,종목,dim_3,support,news,5624
RN_COMM_OFF,LTB,종목,dim_4,contradict,depth2_recent_search,139
RN_COMM_OFF,LTB,종목,dim_4,contradict,news,2375
RN_COMM_OFF,LTB,종목,dim_4,support,depth2_recent_search,582
RN_COMM_OFF,LTB,종목,dim_4,support,news,13816
RN_COMM_OFF,LTB,종목,dim_5,contradict,depth2_recent_search,89
RN_COMM_OFF,LTB,종목,dim_5,contradict,news,972
RN_COMM_OFF,LTB,종목,dim_5,support,depth2_recent_search,613
RN_COMM_OFF,LTB,종목,dim_5,support,news,12654
RN_COMM_OFF,LTB,종목,dim_6,contradict,depth2_recent_search,3
RN_COMM_OFF,LTB,종목,dim_6,contradict,news,33
RN_COMM_OFF,LTB,종목,dim_6,support,depth2_recent_search,1
RN_COMM_OFF,LTB,종목,dim_6,support,news,24
RN_COMM_OFF,STB,경제,dim_1,contradict,depth2_recent_search,10
RN_COMM_OFF,STB,경제,dim_1,contradict,news,622
RN_COMM_OFF,STB,경제,dim_1,support,depth2_recent_search,22
RN_COMM_OFF,STB,경제,dim_1,support,news,567
RN_COMM_OFF,STB,경제,dim_2,contradict,news,179
RN_COMM_OFF,STB,경제,dim_2,support,depth2_recent_search,15
RN_COMM_OFF,STB,경제,dim_2,support,news,222
RN_COMM_OFF,STB,경제,dim_3,contradict,depth2_recent_search,65
RN_COMM_OFF,STB,경제,dim_3,contradict,news,1988
RN_COMM_OFF,STB,경제,dim_3,support,depth2_recent_search,148
RN_COMM_OFF,STB,경제,dim_3,support,news,6597
RN_COMM_OFF,STB,경제,dim_4,contradict,news,99
RN_COMM_OFF,STB,경제,dim_4,support,news,392
RN_COMM_OFF,STB,경제,dim_5,contradict,depth2_recent_search,1
RN_COMM_OFF,STB,경제,dim_5,contradict,news,246
RN_COMM_OFF,STB,경제,dim_5,support,depth2_recent_search,6
RN_COMM_OFF,STB,경제,dim_5,support,news,638
RN_COMM_OFF,STB,경제,dim_6,contradict,news,40
RN_COMM_OFF,STB,경제,dim_6,support,news,33
RN_COMM_OFF,STB,섹터,dim_1,contradict,depth2_recent_search,41
RN_COMM_OFF,STB,섹터,dim_1,contradict,news,478
RN_COMM_OFF,STB,섹터,dim_1,support,depth2_recent_search,10
RN_COMM_OFF,STB,섹터,dim_1,support,news,592
RN_COMM_OFF,STB,섹터,dim_2,contradict,depth2_recent_search,28
RN_COMM_OFF,STB,섹터,dim_2,contradict,news,133
RN_COMM_OFF,STB,섹터,dim_2,support,depth2_recent_search,47
RN_COMM_OFF,STB,섹터,dim_2,support,news,319
RN_COMM_OFF,STB,섹터,dim_3,contradict,depth2_recent_search,63
RN_COMM_OFF,STB,섹터,dim_3,contradict,news,690
RN_COMM_OFF,STB,섹터,dim_3,support,depth2_recent_search,155
RN_COMM_OFF,STB,섹터,dim_3,support,news,3038
RN_COMM_OFF,STB,섹터,dim_4,contradict,depth2_recent_search,4
RN_COMM_OFF,STB,섹터,dim_4,contradict,news,286
RN_COMM_OFF,STB,섹터,dim_4,support,depth2_recent_search,9
RN_COMM_OFF,STB,섹터,dim_4,support,news,859
RN_COMM_OFF,STB,섹터,dim_5,contradict,depth2_recent_search,15
RN_COMM_OFF,STB,섹터,dim_5,contradict,news,230
RN_COMM_OFF,STB,섹터,dim_5,support,depth2_recent_search,70
RN_COMM_OFF,STB,섹터,dim_5,support,news,1956
RN_COMM_OFF,STB,섹터,dim_6,contradict,depth2_recent_search,5
RN_COMM_OFF,STB,섹터,dim_6,contradict,news,12
RN_COMM_OFF,STB,섹터,dim_6,support,news,10
RN_COMM_OFF,STB,종목,dim_1,contradict,depth2_recent_search,178
RN_COMM_OFF,STB,종목,dim_1,contradict,news,4315
RN_COMM_OFF,STB,종목,dim_1,support,depth2_recent_search,629
RN_COMM_OFF,STB,종목,dim_1,support,news,14395
RN_COMM_OFF,STB,종목,dim_2,contradict,depth2_recent_search,106
RN_COMM_OFF,STB,종목,dim_2,contradict,news,1144
RN_COMM_OFF,STB,종목,dim_2,support,depth2_recent_search,889
RN_COMM_OFF,STB,종목,dim_2,support,news,5425
RN_COMM_OFF,STB,종목,dim_3,contradict,depth2_recent_search,77
RN_COMM_OFF,STB,종목,dim_3,contradict,news,1209
RN_COMM_OFF,STB,종목,dim_3,support,depth2_recent_search,414
RN_COMM_OFF,STB,종목,dim_3,support,news,5629
RN_COMM_OFF,STB,종목,dim_4,contradict,depth2_recent_search,139
RN_COMM_OFF,STB,종목,dim_4,contradict,news,2375
RN_COMM_OFF,STB,종목,dim_4,support,depth2_recent_search,582
RN_COMM_OFF,STB,종목,dim_4,support,news,13816
RN_COMM_OFF,STB,종목,dim_5,contradict,depth2_recent_search,89
RN_COMM_OFF,STB,종목,dim_5,contradict,news,972
RN_COMM_OFF,STB,종목,dim_5,support,depth2_recent_search,613
RN_COMM_OFF,STB,종목,dim_5,support,news,12654
RN_COMM_OFF,STB,종목,dim_6,contradict,depth2_recent_search,3
RN_COMM_OFF,STB,종목,dim_6,contradict,news,35
RN_COMM_OFF,STB,종목,dim_6,support,depth2_recent_search,1
RN_COMM_OFF,STB,종목,dim_6,support,news,26
RN_COMM_ON,LTB,bearish,dim_1,contradict,community_claim,2343
RN_COMM_ON,LTB,bearish,dim_1,support,community_claim,699
RN_COMM_ON,LTB,bearish,dim_2,contradict,community_claim,801
RN_COMM_ON,LTB,bearish,dim_2,support,community_claim,961
RN_COMM_ON,LTB,bearish,dim_3,contradict,community_claim,235
RN_COMM_ON,LTB,bearish,dim_3,support,community_claim,264
RN_COMM_ON,LTB,bearish,dim_4,contradict,community_claim,919
RN_COMM_ON,LTB,bearish,dim_4,support,community_claim,3367
RN_COMM_ON,LTB,bearish,dim_5,contradict,community_claim,611
RN_COMM_ON,LTB,bearish,dim_5,support,community_claim,634
RN_COMM_ON,LTB,bearish,dim_6,contradict,community_claim,4
RN_COMM_ON,LTB,bearish,dim_6,support,community_claim,6
RN_COMM_ON,LTB,bullish,dim_1,contradict,community_claim,22
RN_COMM_ON,LTB,bullish,dim_1,support,community_claim,1405
RN_COMM_ON,LTB,bullish,dim_2,contradict,community_claim,83
RN_COMM_ON,LTB,bullish,dim_2,support,community_claim,1719
RN_COMM_ON,LTB,bullish,dim_3,contradict,community_claim,15
RN_COMM_ON,LTB,bullish,dim_3,support,community_claim,147
RN_COMM_ON,LTB,bullish,dim_4,contradict,community_claim,584
RN_COMM_ON,LTB,bullish,dim_4,support,community_claim,1657
RN_COMM_ON,LTB,bullish,dim_5,contradict,community_claim,14
RN_COMM_ON,LTB,bullish,dim_5,support,community_claim,840
RN_COMM_ON,LTB,bullish,dim_6,contradict,community_claim,1
RN_COMM_ON,LTB,bullish,dim_6,support,community_claim,1
RN_COMM_ON,LTB,neutral,dim_1,contradict,community_claim,456
RN_COMM_ON,LTB,neutral,dim_1,support,community_claim,260
RN_COMM_ON,LTB,neutral,dim_2,contradict,community_claim,178
RN_COMM_ON,LTB,neutral,dim_2,support,community_claim,613
RN_COMM_ON,LTB,neutral,dim_3,contradict,community_claim,18
RN_COMM_ON,LTB,neutral,dim_3,support,community_claim,24
RN_COMM_ON,LTB,neutral,dim_4,contradict,community_claim,264
RN_COMM_ON,LTB,neutral,dim_4,support,community_claim,1279
RN_COMM_ON,LTB,neutral,dim_5,contradict,community_claim,111
RN_COMM_ON,LTB,neutral,dim_5,support,community_claim,674
RN_COMM_ON,LTB,neutral,dim_6,contradict,community_claim,2
RN_COMM_ON,LTB,neutral,dim_6,support,community_claim,5
RN_COMM_ON,LTB,outcome,dim_6,contradict,outcome,12202
RN_COMM_ON,LTB,outcome,dim_6,support,outcome,13498
RN_COMM_ON,LTB,uncertain,dim_1,contradict,community_claim,252
RN_COMM_ON,LTB,uncertain,dim_1,support,community_claim,91
RN_COMM_ON,LTB,uncertain,dim_2,contradict,community_claim,180
RN_COMM_ON,LTB,uncertain,dim_2,support,community_claim,355
RN_COMM_ON,LTB,uncertain,dim_3,contradict,community_claim,102
RN_COMM_ON,LTB,uncertain,dim_3,support,community_claim,54
RN_COMM_ON,LTB,uncertain,dim_4,contradict,community_claim,354
RN_COMM_ON,LTB,uncertain,dim_4,support,community_claim,1089
RN_COMM_ON,LTB,uncertain,dim_5,contradict,community_claim,152
RN_COMM_ON,LTB,uncertain,dim_5,support,community_claim,603
RN_COMM_ON,LTB,uncertain,dim_6,contradict,community_claim,5
RN_COMM_ON,LTB,uncertain,dim_6,support,community_claim,9
RN_COMM_ON,LTB,경제,dim_1,contradict,depth2_recent_search,12
RN_COMM_ON,LTB,경제,dim_1,contradict,news,533
RN_COMM_ON,LTB,경제,dim_1,support,depth2_recent_search,18
RN_COMM_ON,LTB,경제,dim_1,support,news,563
RN_COMM_ON,LTB,경제,dim_2,contradict,depth2_recent_search,5
RN_COMM_ON,LTB,경제,dim_2,contradict,news,168
RN_COMM_ON,LTB,경제,dim_2,support,depth2_recent_search,5
RN_COMM_ON,LTB,경제,dim_2,support,news,151
RN_COMM_ON,LTB,경제,dim_3,contradict,depth2_recent_search,59
RN_COMM_ON,LTB,경제,dim_3,contradict,news,1905
RN_COMM_ON,LTB,경제,dim_3,support,depth2_recent_search,138
RN_COMM_ON,LTB,경제,dim_3,support,news,6914
RN_COMM_ON,LTB,경제,dim_4,contradict,depth2_recent_search,1
RN_COMM_ON,LTB,경제,dim_4,contradict,news,84
RN_COMM_ON,LTB,경제,dim_4,support,news,240
RN_COMM_ON,LTB,경제,dim_5,contradict,depth2_recent_search,2
RN_COMM_ON,LTB,경제,dim_5,contradict,news,207
RN_COMM_ON,LTB,경제,dim_5,support,depth2_recent_search,5
RN_COMM_ON,LTB,경제,dim_5,support,news,534
RN_COMM_ON,LTB,경제,dim_6,contradict,news,36
RN_COMM_ON,LTB,경제,dim_6,support,news,25
RN_COMM_ON,LTB,섹터,dim_1,contradict,depth2_recent_search,31
RN_COMM_ON,LTB,섹터,dim_1,contradict,news,357
RN_COMM_ON,LTB,섹터,dim_1,support,depth2_recent_search,8
RN_COMM_ON,LTB,섹터,dim_1,support,news,524
RN_COMM_ON,LTB,섹터,dim_2,contradict,depth2_recent_search,33
RN_COMM_ON,LTB,섹터,dim_2,contradict,news,140
RN_COMM_ON,LTB,섹터,dim_2,support,depth2_recent_search,41
RN_COMM_ON,LTB,섹터,dim_2,support,news,191
RN_COMM_ON,LTB,섹터,dim_3,contradict,depth2_recent_search,64
RN_COMM_ON,LTB,섹터,dim_3,contradict,news,635
RN_COMM_ON,LTB,섹터,dim_3,support,depth2_recent_search,184
RN_COMM_ON,LTB,섹터,dim_3,support,news,2814
RN_COMM_ON,LTB,섹터,dim_4,contradict,depth2_recent_search,1
RN_COMM_ON,LTB,섹터,dim_4,contradict,news,144
RN_COMM_ON,LTB,섹터,dim_4,support,depth2_recent_search,8
RN_COMM_ON,LTB,섹터,dim_4,support,news,543
RN_COMM_ON,LTB,섹터,dim_5,contradict,depth2_recent_search,19
RN_COMM_ON,LTB,섹터,dim_5,contradict,news,173
RN_COMM_ON,LTB,섹터,dim_5,support,depth2_recent_search,51
RN_COMM_ON,LTB,섹터,dim_5,support,news,1462
RN_COMM_ON,LTB,섹터,dim_6,contradict,depth2_recent_search,7
RN_COMM_ON,LTB,섹터,dim_6,contradict,news,13
RN_COMM_ON,LTB,섹터,dim_6,support,news,7
RN_COMM_ON,LTB,종목,dim_1,contradict,depth2_recent_search,134
RN_COMM_ON,LTB,종목,dim_1,contradict,news,3921
RN_COMM_ON,LTB,종목,dim_1,support,depth2_recent_search,533
RN_COMM_ON,LTB,종목,dim_1,support,news,13005
RN_COMM_ON,LTB,종목,dim_2,contradict,depth2_recent_search,76
RN_COMM_ON,LTB,종목,dim_2,contradict,news,869
RN_COMM_ON,LTB,종목,dim_2,support,depth2_recent_search,775
RN_COMM_ON,LTB,종목,dim_2,support,news,4046
RN_COMM_ON,LTB,종목,dim_3,contradict,depth2_recent_search,71
RN_COMM_ON,LTB,종목,dim_3,contradict,news,1049
RN_COMM_ON,LTB,종목,dim_3,support,depth2_recent_search,364
RN_COMM_ON,LTB,종목,dim_3,support,news,5580
RN_COMM_ON,LTB,종목,dim_4,contradict,depth2_recent_search,103
RN_COMM_ON,LTB,종목,dim_4,contradict,news,1562
RN_COMM_ON,LTB,종목,dim_4,support,depth2_recent_search,416
RN_COMM_ON,LTB,종목,dim_4,support,news,9086
RN_COMM_ON,LTB,종목,dim_5,contradict,depth2_recent_search,73
RN_COMM_ON,LTB,종목,dim_5,contradict,news,827
RN_COMM_ON,LTB,종목,dim_5,support,depth2_recent_search,518
RN_COMM_ON,LTB,종목,dim_5,support,news,11370
RN_COMM_ON,LTB,종목,dim_6,contradict,depth2_recent_search,4
RN_COMM_ON,LTB,종목,dim_6,contradict,news,39
RN_COMM_ON,LTB,종목,dim_6,support,news,38
RN_COMM_ON,STB,bearish,dim_1,contradict,community_claim,2343
RN_COMM_ON,STB,bearish,dim_1,support,community_claim,699
RN_COMM_ON,STB,bearish,dim_2,contradict,community_claim,801
RN_COMM_ON,STB,bearish,dim_2,support,community_claim,961
RN_COMM_ON,STB,bearish,dim_3,contradict,community_claim,235
RN_COMM_ON,STB,bearish,dim_3,support,community_claim,264
RN_COMM_ON,STB,bearish,dim_4,contradict,community_claim,919
RN_COMM_ON,STB,bearish,dim_4,support,community_claim,3367
RN_COMM_ON,STB,bearish,dim_5,contradict,community_claim,611
RN_COMM_ON,STB,bearish,dim_5,support,community_claim,634
RN_COMM_ON,STB,bearish,dim_6,contradict,community_claim,4
RN_COMM_ON,STB,bearish,dim_6,support,community_claim,6
RN_COMM_ON,STB,bullish,dim_1,contradict,community_claim,22
RN_COMM_ON,STB,bullish,dim_1,support,community_claim,1405
RN_COMM_ON,STB,bullish,dim_2,contradict,community_claim,83
RN_COMM_ON,STB,bullish,dim_2,support,community_claim,1719
RN_COMM_ON,STB,bullish,dim_3,contradict,community_claim,15
RN_COMM_ON,STB,bullish,dim_3,support,community_claim,147
RN_COMM_ON,STB,bullish,dim_4,contradict,community_claim,584
RN_COMM_ON,STB,bullish,dim_4,support,community_claim,1657
RN_COMM_ON,STB,bullish,dim_5,contradict,community_claim,14
RN_COMM_ON,STB,bullish,dim_5,support,community_claim,840
RN_COMM_ON,STB,bullish,dim_6,contradict,community_claim,1
RN_COMM_ON,STB,bullish,dim_6,support,community_claim,1
RN_COMM_ON,STB,neutral,dim_1,contradict,community_claim,456
RN_COMM_ON,STB,neutral,dim_1,support,community_claim,260
RN_COMM_ON,STB,neutral,dim_2,contradict,community_claim,178
RN_COMM_ON,STB,neutral,dim_2,support,community_claim,613
RN_COMM_ON,STB,neutral,dim_3,contradict,community_claim,18
RN_COMM_ON,STB,neutral,dim_3,support,community_claim,24
RN_COMM_ON,STB,neutral,dim_4,contradict,community_claim,264
RN_COMM_ON,STB,neutral,dim_4,support,community_claim,1279
RN_COMM_ON,STB,neutral,dim_5,contradict,community_claim,111
RN_COMM_ON,STB,neutral,dim_5,support,community_claim,674
RN_COMM_ON,STB,neutral,dim_6,contradict,community_claim,2
RN_COMM_ON,STB,neutral,dim_6,support,community_claim,5
RN_COMM_ON,STB,uncertain,dim_1,contradict,community_claim,252
RN_COMM_ON,STB,uncertain,dim_1,support,community_claim,91
RN_COMM_ON,STB,uncertain,dim_2,contradict,community_claim,180
RN_COMM_ON,STB,uncertain,dim_2,support,community_claim,355
RN_COMM_ON,STB,uncertain,dim_3,contradict,community_claim,102
RN_COMM_ON,STB,uncertain,dim_3,support,community_claim,54
RN_COMM_ON,STB,uncertain,dim_4,contradict,community_claim,354
RN_COMM_ON,STB,uncertain,dim_4,support,community_claim,1089
RN_COMM_ON,STB,uncertain,dim_5,contradict,community_claim,152
RN_COMM_ON,STB,uncertain,dim_5,support,community_claim,603
RN_COMM_ON,STB,uncertain,dim_6,contradict,community_claim,5
RN_COMM_ON,STB,uncertain,dim_6,support,community_claim,9
RN_COMM_ON,STB,경제,dim_1,contradict,depth2_recent_search,12
RN_COMM_ON,STB,경제,dim_1,contradict,news,533
RN_COMM_ON,STB,경제,dim_1,support,depth2_recent_search,18
RN_COMM_ON,STB,경제,dim_1,support,news,563
RN_COMM_ON,STB,경제,dim_2,contradict,depth2_recent_search,5
RN_COMM_ON,STB,경제,dim_2,contradict,news,168
RN_COMM_ON,STB,경제,dim_2,support,depth2_recent_search,5
RN_COMM_ON,STB,경제,dim_2,support,news,152
RN_COMM_ON,STB,경제,dim_3,contradict,depth2_recent_search,59
RN_COMM_ON,STB,경제,dim_3,contradict,news,1906
RN_COMM_ON,STB,경제,dim_3,support,depth2_recent_search,138
RN_COMM_ON,STB,경제,dim_3,support,news,6918
RN_COMM_ON,STB,경제,dim_4,contradict,depth2_recent_search,1
RN_COMM_ON,STB,경제,dim_4,contradict,news,84
RN_COMM_ON,STB,경제,dim_4,support,news,240
RN_COMM_ON,STB,경제,dim_5,contradict,depth2_recent_search,2
RN_COMM_ON,STB,경제,dim_5,contradict,news,207
RN_COMM_ON,STB,경제,dim_5,support,depth2_recent_search,5
RN_COMM_ON,STB,경제,dim_5,support,news,535
RN_COMM_ON,STB,경제,dim_6,contradict,news,36
RN_COMM_ON,STB,경제,dim_6,support,news,25
RN_COMM_ON,STB,섹터,dim_1,contradict,depth2_recent_search,31
RN_COMM_ON,STB,섹터,dim_1,contradict,news,357
RN_COMM_ON,STB,섹터,dim_1,support,depth2_recent_search,8
RN_COMM_ON,STB,섹터,dim_1,support,news,525
RN_COMM_ON,STB,섹터,dim_2,contradict,depth2_recent_search,33
RN_COMM_ON,STB,섹터,dim_2,contradict,news,140
RN_COMM_ON,STB,섹터,dim_2,support,depth2_recent_search,41
RN_COMM_ON,STB,섹터,dim_2,support,news,191
RN_COMM_ON,STB,섹터,dim_3,contradict,depth2_recent_search,64
RN_COMM_ON,STB,섹터,dim_3,contradict,news,635
RN_COMM_ON,STB,섹터,dim_3,support,depth2_recent_search,184
RN_COMM_ON,STB,섹터,dim_3,support,news,2815
RN_COMM_ON,STB,섹터,dim_4,contradict,depth2_recent_search,1
RN_COMM_ON,STB,섹터,dim_4,contradict,news,144
RN_COMM_ON,STB,섹터,dim_4,support,depth2_recent_search,8
RN_COMM_ON,STB,섹터,dim_4,support,news,545
RN_COMM_ON,STB,섹터,dim_5,contradict,depth2_recent_search,19
RN_COMM_ON,STB,섹터,dim_5,contradict,news,173
RN_COMM_ON,STB,섹터,dim_5,support,depth2_recent_search,51
RN_COMM_ON,STB,섹터,dim_5,support,news,1462
RN_COMM_ON,STB,섹터,dim_6,contradict,depth2_recent_search,7
RN_COMM_ON,STB,섹터,dim_6,contradict,news,13
RN_COMM_ON,STB,섹터,dim_6,support,news,7
RN_COMM_ON,STB,종목,dim_1,contradict,depth2_recent_search,134
RN_COMM_ON,STB,종목,dim_1,contradict,news,3921
RN_COMM_ON,STB,종목,dim_1,support,depth2_recent_search,533
RN_COMM_ON,STB,종목,dim_1,support,news,13011
RN_COMM_ON,STB,종목,dim_2,contradict,depth2_recent_search,76
RN_COMM_ON,STB,종목,dim_2,contradict,news,869
RN_COMM_ON,STB,종목,dim_2,support,depth2_recent_search,775
RN_COMM_ON,STB,종목,dim_2,support,news,4049
RN_COMM_ON,STB,종목,dim_3,contradict,depth2_recent_search,71
RN_COMM_ON,STB,종목,dim_3,contradict,news,1049
RN_COMM_ON,STB,종목,dim_3,support,depth2_recent_search,364
RN_COMM_ON,STB,종목,dim_3,support,news,5582
RN_COMM_ON,STB,종목,dim_4,contradict,depth2_recent_search,103
RN_COMM_ON,STB,종목,dim_4,contradict,news,1562
RN_COMM_ON,STB,종목,dim_4,support,depth2_recent_search,416
RN_COMM_ON,STB,종목,dim_4,support,news,9089
RN_COMM_ON,STB,종목,dim_5,contradict,depth2_recent_search,73
RN_COMM_ON,STB,종목,dim_5,contradict,news,827
RN_COMM_ON,STB,종목,dim_5,support,depth2_recent_search,519
RN_COMM_ON,STB,종목,dim_5,support,news,11373
RN_COMM_ON,STB,종목,dim_6,contradict,depth2_recent_search,4
RN_COMM_ON,STB,종목,dim_6,contradict,news,39
RN_COMM_ON,STB,종목,dim_6,support,news,38
